datetime,value
2025-09-21 07:00:00,1.95
2025-09-21 08:00:00,1.6
2025-09-21 09:00:00,1.12
2025-09-21 10:00:00,1.36
2025-09-21 11:00:00,2.71
2025-09-21 12:00:00,2.08
2025-09-21 13:00:00,1.57
2025-09-21 14:00:00,1.5
2025-09-21 15:00:00,2.0
2025-09-21 16:00:00,2.02
2025-09-21 17:00:00,1.96
2025-09-21 18:00:00,2.0
2025-09-21 19:00:00,3.81
2025-09-21 22:00:00,2.24
2025-09-21 23:00:00,2.6
2025-09-22 00:00:00,2.76
2025-09-22 01:00:00,2.67
2025-09-22 03:00:00,2.26
2025-09-22 05:00:00,1.36
2025-09-22 06:00:00,1.43
2025-09-22 07:00:00,2.6
2025-09-22 08:00:00,3.76
2025-09-22 09:00:00,2.19
2025-09-22 10:00:00,2.7
2025-09-22 11:00:00,3.03
2025-09-22 12:00:00,2.07
2025-09-22 13:00:00,2.08
2025-09-22 14:00:00,1.45
2025-09-22 15:00:00,1.74
2025-09-22 16:00:00,1.71
2025-09-22 17:00:00,1.9
2025-09-22 18:00:00,1.49
2025-09-22 19:00:00,1.45
2025-09-22 20:00:00,1.81
2025-09-22 21:00:00,1.7
2025-09-22 22:00:00,1.76
2025-09-22 23:00:00,1.32
2025-09-23 00:00:00,1.36
2025-09-23 01:00:00,1.36
2025-09-23 02:00:00,1.54
2025-09-23 03:00:00,2.03
2025-09-23 04:00:00,1.79
2025-09-23 05:00:00,1.74
2025-09-23 06:00:00,2.25
2025-09-23 08:00:00,2.34
2025-09-23 09:00:00,2.11
2025-09-23 10:00:00,2.17
2025-09-23 11:00:00,1.24
2025-09-23 12:00:00,1.55
2025-09-23 13:00:00,0.9
2025-09-23 14:00:00,0.7
2025-09-23 15:00:00,0.73
2025-09-23 16:00:00,1.45
2025-09-23 17:00:00,0.77
2025-09-23 18:00:00,2.27
2025-09-23 19:00:00,1.08
2025-09-23 20:00:00,1.14
2025-09-23 21:00:00,1.05
2025-09-23 22:00:00,1.19
2025-09-23 23:00:00,1.04
2025-09-24 00:00:00,0.98
2025-09-24 01:00:00,1.01
2025-09-24 02:00:00,1.13
2025-09-24 03:00:00,1.22
2025-09-24 04:00:00,1.22
2025-09-24 05:00:00,1.17
2025-09-24 06:00:00,1.49
2025-09-24 07:00:00,2.38
2025-09-24 08:00:00,3.26
2025-09-24 09:00:00,2.44
2025-09-24 10:00:00,1.13
2025-09-24 11:00:00,0.87
2025-09-24 12:00:00,0.69
2025-09-24 13:00:00,0.7
2025-09-24 14:00:00,0.76
2025-09-24 15:00:00,0.76
2025-09-24 16:00:00,1.14
2025-09-24 17:00:00,1.15
2025-09-24 18:00:00,4.08
2025-09-24 19:00:00,2.43
2025-09-24 20:00:00,1.93
2025-09-24 21:00:00,1.74
2025-09-24 22:00:00,1.65
2025-09-24 23:00:00,1.52
2025-09-25 00:00:00,1.04
2025-09-25 01:00:00,0.94
2025-09-25 02:00:00,0.89
2025-09-25 03:00:00,0.87
2025-09-25 04:00:00,0.89
2025-09-25 05:00:00,1.05
2025-09-25 06:00:00,1.07
2025-09-25 07:00:00,2.33
2025-09-25 08:00:00,1.68
2025-09-25 09:00:00,1.61
2025-09-25 10:00:00,1.79
2025-09-25 11:00:00,1.81
2025-09-25 12:00:00,1.47
2025-09-25 13:00:00,1.54
2025-09-25 14:00:00,1.21
2025-09-25 15:00:00,2.09
2025-09-25 16:00:00,2.05
2025-09-25 17:00:00,2.29
2025-09-25 18:00:00,1.61
2025-09-25 19:00:00,2.13
2025-09-25 20:00:00,2.03
2025-09-25 21:00:00,1.51
2025-09-25 22:00:00,1.46
2025-09-25 23:00:00,1.36
2025-09-26 00:00:00,1.41
2025-09-26 01:00:00,1.52
2025-09-26 02:00:00,1.52
2025-09-26 03:00:00,1.58
2025-09-26 04:00:00,1.67
2025-09-26 05:00:00,1.85
2025-09-26 06:00:00,2.95
2025-09-26 07:00:00,2.46
2025-09-26 08:00:00,3.55
2025-09-26 09:00:00,4.12
2025-09-26 10:00:00,4.01
2025-09-26 11:00:00,4.43
2025-09-26 12:00:00,5.71
2025-09-26 13:00:00,6.43
2025-09-26 14:00:00,6.32
2025-09-26 15:00:00,6.54
2025-09-26 16:00:00,7.71
2025-09-26 17:00:00,5.91
2025-09-26 18:00:00,7.56
2025-09-26 19:00:00,8.82
2025-09-26 20:00:00,7.71
2025-09-26 21:00:00,7.6
2025-09-26 22:00:00,9.61
2025-09-26 23:00:00,9.7
2025-09-27 00:00:00,9.28
2025-09-27 01:00:00,9.04
2025-09-27 03:00:00,11.48
2025-09-27 04:00:00,12.71
2025-09-27 05:00:00,14.88
2025-09-27 06:00:00,17.02
2025-09-27 07:00:00,19.22
2025-09-27 08:00:00,21.53
2025-09-27 09:00:00,22.83
2025-09-27 10:00:00,27.79
2025-09-27 11:00:00,28.1
2025-09-27 12:00:00,23.14
2025-09-27 13:00:00,23.44
2025-09-27 14:00:00,23.5
2025-09-27 15:00:00,27.1
2025-09-27 16:00:00,27.43
2025-09-27 17:00:00,29.85
2025-09-27 18:00:00,34.19
2025-09-27 19:00:00,33.96
2025-09-27 20:00:00,36.37
2025-09-27 21:00:00,35.7
2025-09-27 22:00:00,34.69
2025-09-27 23:00:00,30.81
2025-09-28 00:00:00,27.44
2025-09-28 01:00:00,24.9
2025-09-28 02:00:00,25.54
2025-09-28 04:00:00,19.72
2025-09-28 05:00:00,15.08
2025-09-28 06:00:00,15.62
2025-09-28 07:00:00,16.4
2025-09-28 08:00:00,15.95
2025-09-28 09:00:00,15.5
2025-09-28 10:00:00,11.96
2025-09-28 11:00:00,6.82
2025-09-28 12:00:00,4.69
2025-09-28 13:00:00,5.95
2025-09-28 14:00:00,5.12
2025-09-28 15:00:00,5.47
2025-09-28 16:00:00,5.0
2025-09-28 17:00:00,11.08
2025-09-28 18:00:00,16.75
2025-09-28 19:00:00,12.3
2025-09-28 20:00:00,10.51
2025-09-28 21:00:00,12.51
2025-09-28 22:00:00,15.62
2025-09-28 23:00:00,18.92
2025-09-29 00:00:00,19.87
2025-09-29 01:00:00,20.61
2025-09-29 02:00:00,19.97
2025-09-29 03:00:00,18.77
2025-09-29 04:00:00,19.9
2025-09-29 05:00:00,20.54
2025-09-29 06:00:00,20.49
2025-09-29 07:00:00,20.65
2025-09-29 08:00:00,20.6
2025-09-29 09:00:00,25.01
2025-09-29 10:00:00,22.01
2025-09-29 11:00:00,19.68
2025-09-29 12:00:00,14.43
2025-09-29 13:00:00,12.3
2025-09-29 14:00:00,6.5
2025-09-29 15:00:00,4.72
2025-09-29 16:00:00,4.13
2025-09-29 17:00:00,5.05
2025-09-29 19:00:00,11.29
2025-09-29 20:00:00,25.94
2025-09-29 21:00:00,25.16
2025-09-29 22:00:00,15.04
2025-09-29 23:00:00,13.02
2025-09-30 00:00:00,12.4
2025-09-30 01:00:00,11.32
2025-09-30 02:00:00,13.6
2025-09-30 03:00:00,16.01
2025-09-30 04:00:00,18.18
2025-09-30 05:00:00,20.36
2025-09-30 06:00:00,18.85
2025-09-30 07:00:00,17.34
2025-09-30 08:00:00,18.45
2025-09-30 09:00:00,19.95
2025-09-30 11:00:00,23.61
2025-09-30 12:00:00,14.08
2025-09-30 13:00:00,7.95
2025-09-30 14:00:00,8.73
2025-09-30 15:00:00,7.51
2025-09-30 16:00:00,7.37
2025-09-30 17:00:00,15.64
2025-09-30 18:00:00,20.28
2025-09-30 19:00:00,21.29
2025-09-30 20:00:00,25.46
2025-09-30 21:00:00,29.19
2025-09-30 22:00:00,27.45
2025-09-30 23:00:00,25.77
2025-10-01 00:00:00,26.68
2025-10-01 01:00:00,33.48
2025-10-01 02:00:00,36.97
2025-10-01 03:00:00,28.75
2025-10-01 04:00:00,19.22
2025-10-01 05:00:00,16.17
2025-10-01 06:00:00,15.0
2025-10-01 07:00:00,15.14
2025-10-01 08:00:00,15.76
2025-10-01 09:00:00,14.03
2025-10-01 10:00:00,11.38
2025-10-01 11:00:00,6.52
2025-10-01 12:00:00,4.71
2025-10-01 13:00:00,4.4
2025-10-01 14:00:00,4.24
2025-10-01 15:00:00,3.37
2025-10-01 16:00:00,3.6
2025-10-01 17:00:00,4.92
2025-10-01 18:00:00,3.29
2025-10-01 19:00:00,3.65
2025-10-01 20:00:00,4.24
2025-10-01 21:00:00,4.92
2025-10-01 22:00:00,7.59
2025-10-01 23:00:00,10.05
2025-10-02 00:00:00,12.17
