datetime,value
2025-06-11 02:00:00,14.3
2025-06-11 03:00:00,13.66
2025-06-11 04:00:00,12.65
2025-06-11 05:00:00,12.4
2025-06-11 06:00:00,12.38
2025-06-11 07:00:00,9.61
2025-06-11 08:00:00,7.11
2025-06-11 09:00:00,7.16
2025-06-11 10:00:00,8.81
2025-06-11 11:00:00,7.0
2025-06-11 12:00:00,7.72
2025-06-11 13:00:00,8.85
2025-06-11 14:00:00,10.24
2025-06-11 15:00:00,10.4
2025-06-11 16:00:00,8.59
2025-06-11 17:00:00,10.35
2025-06-11 18:00:00,9.03
2025-06-11 19:00:00,9.12
2025-06-11 20:00:00,8.31
2025-06-11 21:00:00,9.29
2025-06-11 22:00:00,8.44
2025-06-11 23:00:00,8.55
2025-06-12 00:00:00,8.92
2025-06-12 01:00:00,8.91
2025-06-12 02:00:00,9.3
2025-06-12 03:00:00,9.63
2025-06-12 04:00:00,9.4
2025-06-12 05:00:00,9.53
2025-06-12 06:00:00,10.2
2025-06-12 07:00:00,10.12
2025-06-12 08:00:00,8.77
2025-06-12 09:00:00,9.91
2025-06-12 10:00:00,8.83
2025-06-12 11:00:00,9.19
2025-06-12 12:00:00,9.49
2025-06-12 13:00:00,8.93
2025-06-12 14:00:00,8.82
2025-06-12 15:00:00,9.06
2025-06-12 16:00:00,8.71
2025-06-12 17:00:00,8.87
2025-06-12 18:00:00,9.36
2025-06-12 19:00:00,10.46
2025-06-12 20:00:00,11.15
2025-06-12 21:00:00,11.7
2025-06-12 22:00:00,12.68
2025-06-12 23:00:00,12.68
2025-06-13 00:00:00,12.23
2025-06-13 01:00:00,11.86
2025-06-13 02:00:00,12.0
2025-06-13 03:00:00,12.16
2025-06-13 04:00:00,12.59
2025-06-13 05:00:00,13.2
2025-06-13 06:00:00,16.22
2025-06-13 07:00:00,13.77
2025-06-13 08:00:00,13.18
2025-06-13 09:00:00,15.03
2025-06-13 10:00:00,15.27
2025-06-13 11:00:00,16.42
2025-06-13 12:00:00,16.34
2025-06-13 13:00:00,16.96
2025-06-13 14:00:00,16.7
2025-06-13 15:00:00,16.18
2025-06-13 16:00:00,15.76
2025-06-13 17:00:00,15.47
2025-06-13 18:00:00,14.68
2025-06-13 19:00:00,15.6
2025-06-13 20:00:00,20.53
2025-06-13 21:00:00,18.52
2025-06-13 22:00:00,15.5
2025-06-13 23:00:00,16.02
2025-06-14 00:00:00,15.57
2025-06-14 01:00:00,15.98
2025-06-14 02:00:00,16.09
2025-06-14 03:00:00,16.4
2025-06-14 04:00:00,17.65
2025-06-14 05:00:00,18.35
2025-06-14 06:00:00,21.02
2025-06-14 07:00:00,22.75
2025-06-14 08:00:00,16.5
2025-06-14 09:00:00,16.86
2025-06-14 10:00:00,16.55
2025-06-14 11:00:00,15.91
2025-06-14 12:00:00,13.43
2025-06-14 13:00:00,11.7
2025-06-14 14:00:00,10.69
2025-06-14 15:00:00,9.37
2025-06-14 16:00:00,10.22
2025-06-14 17:00:00,9.5
2025-06-14 18:00:00,9.53
2025-06-14 19:00:00,13.2
2025-06-14 20:00:00,6.28
2025-06-14 21:00:00,5.1
2025-06-14 22:00:00,4.62
2025-06-14 23:00:00,4.5
2025-06-15 00:00:00,5.27
2025-06-15 01:00:00,4.63
2025-06-15 02:00:00,4.27
2025-06-15 03:00:00,4.26
2025-06-15 04:00:00,4.63
2025-06-15 05:00:00,5.04
2025-06-15 06:00:00,5.13
2025-06-15 07:00:00,4.96
2025-06-15 08:00:00,6.2
2025-06-15 09:00:00,5.93
