datetime,value
2025-06-11 02:00:00,12.3482
2025-06-11 03:00:00,12.8867
2025-06-11 04:00:00,11.3492
2025-06-11 05:00:00,12.829
2025-06-11 06:00:00,11.8732
2025-06-11 07:00:00,11.5364
2025-06-11 08:00:00,10.6636
2025-06-11 09:00:00,6.80686
2025-06-11 10:00:00,13.1169
2025-06-11 11:00:00,8.48401
2025-06-11 12:00:00,7.97423
2025-06-11 13:00:00,9.16925
2025-06-11 14:00:00,11.3552
2025-06-11 15:00:00,9.91165
2025-06-11 16:00:00,7.96905
2025-06-11 17:00:00,9.13778
2025-06-11 18:00:00,8.88987
2025-06-11 19:00:00,8.35107
2025-06-11 20:00:00,8.87412
2025-06-11 21:00:00,7.6728
2025-06-11 22:00:00,7.5208
2025-06-11 23:00:00,7.18689
2025-06-12 00:00:00,8.40414
2025-06-12 01:00:00,8.13224
2025-06-12 02:00:00,8.22405
2025-06-12 03:00:00,8.89285
2025-06-12 04:00:00,8.20585
2025-06-12 05:00:00,8.05308
2025-06-12 06:00:00,10.6978
2025-06-12 07:00:00,12.6133
2025-06-12 08:00:00,9.65996
2025-06-12 09:00:00,10.6337
2025-06-12 10:00:00,9.42041
2025-06-12 11:00:00,11.9088
2025-06-12 12:00:00,11.019
2025-06-12 13:00:00,9.96715
2025-06-12 14:00:00,9.47879
2025-06-12 15:00:00,10.4882
2025-06-12 16:00:00,8.87951
2025-06-12 17:00:00,7.9835
2025-06-12 18:00:00,9.79575
2025-06-12 19:00:00,10.1134
2025-06-12 20:00:00,10.3615
2025-06-12 21:00:00,9.99463
2025-06-12 22:00:00,10.7187
2025-06-12 23:00:00,12.8019
2025-06-13 00:00:00,12.1801
2025-06-13 01:00:00,11.3994
2025-06-13 02:00:00,11.1653
2025-06-13 03:00:00,12.1824
2025-06-13 04:00:00,12.2875
2025-06-13 05:00:00,14.1459
2025-06-13 06:00:00,16.152
2025-06-13 07:00:00,15.1564
2025-06-13 08:00:00,14.3016
2025-06-13 09:00:00,17.2278
2025-06-13 10:00:00,17.5434
2025-06-13 11:00:00,18.7433
2025-06-13 12:00:00,19.427
2025-06-13 13:00:00,18.7641
2025-06-13 14:00:00,19.4719
2025-06-13 15:00:00,18.2923
2025-06-13 16:00:00,19.0016
2025-06-13 17:00:00,17.0042
2025-06-13 18:00:00,15.1069
2025-06-13 19:00:00,15.7256
2025-06-13 20:00:00,19.5415
2025-06-13 21:00:00,18.4959
2025-06-13 22:00:00,14.7615
2025-06-13 23:00:00,15.5196
2025-06-14 00:00:00,15.0768
2025-06-14 01:00:00,15.8829
2025-06-14 02:00:00,16.5861
2025-06-14 03:00:00,16.5229
2025-06-14 04:00:00,17.7476
2025-06-14 05:00:00,17.9729
2025-06-14 06:00:00,20.3684
2025-06-14 07:00:00,25.0571
2025-06-14 08:00:00,16.6975
2025-06-14 09:00:00,19.9924
2025-06-14 10:00:00,20.0088
2025-06-14 11:00:00,18.9492
2025-06-14 12:00:00,15.2044
2025-06-14 13:00:00,12.4454
2025-06-14 14:00:00,11.7689
2025-06-14 15:00:00,10.1979
2025-06-14 16:00:00,9.88134
2025-06-14 17:00:00,8.67443
2025-06-14 18:00:00,9.68972
2025-06-14 19:00:00,13.5963
2025-06-14 20:00:00,7.09967
